title,imdb_id,release_date,budget,revenue,vote_average,vote_count,studio_type
Marriage Story,tt7653254,2019-09-28,18000000,333686,7.732,7475,indie
Pokémon Detective Pikachu,tt5884052,2019-05-03,150000000,450063166,6.903,7414,indie
Raya and the Last Dragon,tt5109280,2021-03-03,100000000,130423032,7.799,7355,indie
Warcraft,tt0803096,2016-05-25,160000000,433677183,6.409,7348,indie
Bridge of Spies,tt3682448,2015-10-15,40000000,165478348,7.243,7329,indie
Ad Astra,tt2935510,2019-09-17,87500000,127461872,6.134,7301,indie
No Time to Die,tt2382320,2021-09-29,250000000,774153024,7.34,7241,indie
The Nun,tt5814060,2018-09-05,22000000,366082797,5.909,7237,indie
How to Train Your Dragon: The Hidden World,tt2386490,2019-01-03,129000000,539987993,7.755,7195,indie
Dark Phoenix,tt6565702,2019-06-05,200000000,252442974,5.968,7162,indie
The Age of Adaline,tt1655441,2015-04-16,25000000,65663276,7.466,7140,indie
Nerve,tt3531824,2016-06-27,19000000,85241496,6.997,7059,indie
Allegiant,tt3410834,2016-03-09,110000000,179246868,6.101,7034,indie
It Follows,tt3235888,2015-02-04,2300000,23374076,6.583,7021,indie
Uncharted,tt1464335,2022-02-10,120000000,407141258,6.882,7004,indie
Lion,tt3741834,2016-11-24,12000000,140312928,8.038,6996,indie
Glass Onion: A Knives Out Mystery,tt11564570,2022-11-23,40000000,15000000,7.03,6967,indie
The Lobster,tt3464902,2015-10-15,4000000,15700000,7.022,6958,indie
Mortal Kombat,tt0293429,2021-04-07,20000000,84426031,7.05,6910,indie
Little Women,tt3281548,2019-12-25,40000000,332103783,7.844,6907,indie
Captain Fantastic,tt3553976,2016-07-08,5000000,23123592,7.889,6885,indie
Ghostbusters,tt1289401,2016-07-14,144000000,229147509,5.343,6831,indie
Inside Out 2,tt22022452,2024-06-11,200000000,1698863816,7.544,6814,indie
Godzilla: King of the Monsters,tt3741700,2019-05-29,170000000,387300138,6.691,6793,indie
The Hitman's Bodyguard,tt1959563,2017-08-16,30000000,176586701,6.895,6730,indie
The Gentlemen,tt8367814,2020-01-01,22000000,115171795,7.661,6711,indie
Enola Holmes,tt7846844,2020-09-22,21000000,0,7.226,6707,indie
Inferno,tt3062096,2016-10-13,75000000,220021259,6.1,6704,indie
Atomic Blonde,tt2406566,2017-07-26,30000000,100014025,6.4,6689,indie
Extraction,tt8936646,2020-04-23,65000000,0,7.289,6685,indie
Kung Fu Panda 3,tt2267968,2016-01-23,145000000,521170825,6.93,6669,indie
The Conjuring: The Devil Made Me Do It,tt7069210,2021-05-25,39000000,206444123,7.346,6620,indie
Independence Day: Resurgence,tt1628841,2016-06-22,165000000,389681935,5.368,6529,indie
Red Notice,tt7991608,2021-11-04,160000000,178143,6.73,6518,indie
What Happened to Monday,tt1536537,2017-08-18,20000000,27975429,7.144,6483,indie
Cars 3,tt3606752,2017-06-15,175000000,383925276,6.865,6478,indie
The Magnificent Seven,tt2404435,2016-09-14,90000000,162400000,6.496,6478,indie
Manchester by the Sea,tt4034228,2016-11-17,9000000,79000000,7.553,6466,indie
Fantastic Four,tt1502712,2015-08-05,120000000,167977596,4.434,6464,indie
Spy,tt3079380,2015-05-06,65000000,235666219,6.83,6453,indie
Central Intelligence,tt1489889,2016-06-15,50000000,216972543,6.418,6410,indie
The Menu,tt9764362,2022-11-17,35000000,79628200,7.177,6404,indie
Red Sparrow,tt2873282,2018-02-28,69000000,151572634,6.534,6400,indie
Game Night,tt2704998,2018-02-15,37000000,117501013,6.846,6363,indie
The Invisible Man,tt1051906,2020-02-26,7000000,144492724,7.091,6355,indie
Zombieland: Double Tap,tt1560220,2019-10-09,42000000,122810399,6.895,6343,indie
The Wild Robot,tt29623480,2024-09-12,78000000,331982078,8.314,6336,indie
"Love, Simon",tt5164432,2018-02-16,17000000,66316289,7.968,6293,indie
Jason Bourne,tt4196776,2016-07-27,120000000,415484914,6.4,6272,indie
"I, Tonya",tt5580036,2017-12-07,11000000,53900000,7.468,6235,indie
The Substance,tt17526714,2024-09-07,17500000,77316812,7.131,6233,indie
Wrath of Man,tt11083552,2021-04-22,40000000,103966489,7.575,6189,indie
Hotel Transylvania 2,tt2510894,2015-09-21,80000000,473200000,6.765,6183,indie
The Girl on the Train,tt3631112,2016-10-05,45000000,173200000,6.44,6086,indie
The 5th Wave,tt2304933,2016-01-14,38000000,109906372,5.938,6081,indie
The Good Dinosaur,tt1979388,2015-11-14,175000000,332207671,6.749,6077,indie
The Equalizer 2,tt3766354,2018-07-19,62000000,190400157,6.795,6055,indie
Annabelle: Creation,tt5140878,2017-08-03,15000000,306592201,6.609,6034,indie
Bright,tt5519340,2017-12-22,90000000,0,6.162,6010,indie
Gifted,tt4481414,2017-04-07,7000000,40300000,7.995,6001,indie
The Danish Girl,tt0810819,2015-11-27,15000000,64200000,7.542,5978,indie
The Favourite,tt5083738,2018-11-23,15000000,95918706,7.486,5966,indie
Five Feet Apart,tt6472976,2019-03-14,7000000,92600000,8.216,5959,indie
Turning Red,tt8097030,2022-03-10,175000000,21813358,7.334,5952,indie
Ant-Man and the Wasp: Quantumania,tt10954600,2023-02-15,200000000,476071180,6.225,5939,indie
Southpaw,tt1798684,2015-07-22,30000000,91709827,7.364,5875,indie
Wind River,tt5362988,2017-08-03,11000000,44998252,7.439,5849,indie
Creed II,tt6343314,2018-11-21,50000000,214200000,7.038,5846,indie
El Camino: A Breaking Bad Movie,tt9243946,2019-10-11,0,0,7.045,5720,indie
Ready or Not,tt7798634,2019-08-21,6000000,57615777,7.092,5688,indie
The Lighthouse,tt7984734,2019-10-18,11000000,18262464,7.466,5630,indie
Poor Things,tt14230458,2023-12-07,35000000,117607117,7.637,5595,indie
The Dark Tower,tt1648190,2017-08-03,60000000,113231078,5.801,5584,indie
Collateral Beauty,tt4682786,2016-12-15,36000000,88528280,7.218,5578,indie
Darkest Hour,tt4555426,2017-11-22,30000000,150847207,7.356,5570,indie
After We Collided,tt10362466,2020-09-02,14000000,47990414,7.15,5481,indie
Isle of Dogs,tt5104604,2018-03-23,35000000,72991435,7.846,5474,indie
Uncut Gems,tt5727208,2019-08-30,19000000,50023780,7.168,5459,indie
The Founder,tt4276820,2016-11-24,15000000,24121245,7.149,5444,indie
Elemental,tt15789038,2023-06-14,200000000,496444308,7.589,5435,indie
Greenland,tt7737786,2020-07-29,34000000,52300000,7.127,5429,indie
Men in Black: International,tt2283336,2019-06-12,110000000,253890701,5.892,5420,indie
Pacific Rim: Uprising,tt2557478,2018-03-21,150000000,290061297,6.125,5409,indie
The Shallows,tt4052882,2016-06-24,17000000,119100758,6.358,5373,indie
Bloodshot,tt1634106,2020-03-05,42000000,39861118,6.677,5295,indie
Crimson Peak,tt2554274,2015-10-13,55000000,74700000,6.663,5290,indie
6 Underground,tt8106534,2019-12-10,150000000,0,6.333,5230,indie
The Visit,tt3567288,2015-09-10,5000000,98450062,6.318,5230,indie
Ghostbusters: Afterlife,tt4513678,2021-11-18,75000000,204445747,7.316,5227,indie
The Predator,tt3829266,2018-09-05,88000000,160542134,5.623,5201,indie
Paper Towns,tt3622592,2015-06-18,12000000,85500000,6.155,5199,indie
The Kissing Booth 2,tt9784456,2020-07-24,0,0,7.604,5153,indie
London Has Fallen,tt3300542,2016-03-02,60000000,205754447,6.225,5151,indie
The Northman,tt11138512,2022-04-07,70000000,69633110,7.025,5148,indie
The King's Man,tt6856242,2021-12-22,100000000,125897478,6.711,5116,indie
Escape Room,tt5886046,2019-01-03,9000000,155712077,6.542,5103,indie
Five Nights at Freddy's,tt4589218,2023-10-25,20000000,297242145,7.301,5101,indie
Upgrade,tt6499752,2018-05-31,3000000,16976561,7.505,5100,indie
The Invisible Guest,tt4857264,2017-01-06,4000000,30000000,8.079,5062,indie
The Adam Project,tt2463208,2022-03-11,116000000,0,6.99,5025,indie
The Post,tt6294822,2017-12-22,50000000,179769467,7.005,4959,indie
Deepwater Horizon,tt1860357,2016-09-28,110000000,121790376,6.9,4957,indie
Ice Age: Collision Course,tt3416828,2016-06-23,105000000,408579038,6.121,4928,indie
Hell or High Water,tt2582782,2016-08-11,12000000,37600000,7.303,4916,indie
M3GAN,tt8760708,2022-12-28,12000000,180089109,7.019,4904,indie
Hush,tt5022702,2016-03-12,1000000,0,6.729,4888,indie
The Old Guard,tt7556122,2020-07-09,70000000,0,7.096,4877,indie
Morbius,tt5108870,2022-03-30,75000000,167635712,5.895,4876,indie
Murder Mystery,tt1618434,2019-05-25,24000000,0,6.256,4847,indie
Sing 2,tt6467266,2021-12-01,85000000,408402685,7.834,4837,indie
The Autopsy of Jane Doe,tt3289956,2016-12-21,4000000,6170043,6.841,4798,indie
All Quiet on the Western Front,tt1016150,2022-10-07,20000000,0,7.736,4788,indie
The Whale,tt13833688,2022-12-09,3000000,57615635,7.763,4771,indie
Godzilla x Kong: The New Empire,tt14539740,2024-03-27,150000000,571750016,7.048,4765,indie
Hotel Transylvania 3: Summer Vacation,tt5220122,2018-06-28,80000000,528600000,6.848,4746,indie
Klaus,tt4729430,2019-11-08,0,0,8.22,4736,indie
Fall,tt15325794,2022-08-11,3000000,17363261,7.146,4722,indie
Snowden,tt3774114,2016-09-15,40000000,37357216,7.113,4708,indie
Alien: Romulus,tt18412256,2024-08-13,80000000,350865342,7.169,4702,indie
The Commuter,tt1590193,2018-01-11,30000000,119942387,6.367,4696,indie
Power Rangers,tt3717490,2017-03-23,105000000,142300000,6.244,4671,indie
Perfect Strangers,tt4901306,2016-02-11,0,32207491,7.853,4651,indie
A Simple Favor,tt7040874,2018-09-13,20000000,97644617,6.643,4634,indie
Dirty Grandpa,tt1860213,2016-01-20,11500000,94100000,5.938,4625,indie
The Circle,tt4287320,2017-04-27,18000000,40651864,5.52,4606,indie
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,tt11032374,2020-10-16,15700000,523542183,8.223,4596,indie
Miracle in Cell No. 7,tt10431500,2019-10-10,0,28000000,8.254,4582,indie
A Silent Voice: The Movie,tt5323662,2016-09-17,0,30819442,8.4,4580,indie
Okja,tt3967856,2017-06-28,50000000,0,7.33,4573,indie
The Killing of a Sacred Deer,tt5715874,2017-10-20,3000000,10700000,7.004,4495,indie
The DUFF,tt1666801,2015-02-20,8500000,43528634,6.759,4486,indie
The Ballad of Buster Scruggs,tt6412452,2018-11-09,0,0,7.134,4474,indie
Army of the Dead,tt0993840,2021-05-14,90000000,190700000,6.193,4469,indie
Why Him?,tt4501244,2016-12-22,38000000,118102725,6.386,4441,indie
Civil War,tt17279496,2024-04-10,50000000,126542249,6.858,4423,indie
The Handmaiden,tt4016934,2016-06-01,8575000,38600000,8.182,4401,indie
Gods of Egypt,tt2404233,2016-02-25,140000000,150680864,5.698,4394,indie
The Beekeeper,tt15314262,2024-01-08,35000000,162619535,7.279,4372,indie
Venom: The Last Dance,tt16366836,2024-10-22,120000000,478937618,6.666,4348,indie
Kingdom of the Planet of the Apes,tt11389872,2024-05-08,160000000,397378150,7.1,4346,indie
The Gray Man,tt1649418,2022-07-13,200000000,454023,6.918,4337,indie
Legend,tt3569230,2015-09-09,25000000,42972994,7.054,4329,indie
The Tomorrow War,tt9777666,2021-09-03,200000000,14400000,7.518,4315,indie
Joy,tt2446980,2015-12-24,60000000,101134059,6.554,4313,indie
Yesterday,tt8079248,2019-06-26,26000000,154608856,6.687,4302,indie
The Edge of Seventeen,tt1878870,2016-11-18,9000000,18803648,7.152,4290,indie
Bad Moms,tt4651520,2016-07-28,20000000,183936074,6.485,4285,indie
Searching,tt7668870,2018-08-24,880000,75636047,7.571,4284,indie
Death on the Nile,tt7657566,2022-02-09,90000000,137307235,6.41,4274,indie
Rambo: Last Blood,tt1206885,2019-09-18,50000000,91500000,6.535,4269,indie
Home,tt2224026,2015-03-18,135000000,368871007,6.79,4268,indie
Truth or Dare,tt6772950,2018-04-12,3500000,95330493,5.937,4239,indie
A Cure for Wellness,tt4731136,2017-02-15,40000000,26620002,6.35,4239,indie
Indiana Jones and the Dial of Destiny,tt1462764,2023-06-25,294700000,383963057,6.511,4239,indie
Killers of the Flower Moon,tt5537002,2023-10-18,200000000,158722599,7.394,4221,indie
Black Mirror: Bandersnatch,tt9495224,2018-12-28,0,0,6.761,4210,indie
The Croods: A New Age,tt2850386,2020-11-25,65000000,215905815,7.439,4183,indie
Lights Out,tt4786282,2016-07-21,4900000,149368835,6.374,4177,indie
Death Note,tt1241317,2017-08-25,40000000,0,4.273,4146,indie
Roma,tt6155172,2018-11-21,15000000,1140769,7.618,4144,indie
My Fault,tt21909764,2023-06-08,0,0,7.731,4144,indie
Sicario: Day of the Soldado,tt5052474,2018-06-27,35000000,75836683,6.949,4105,indie
Finch,tt3420504,2021-11-04,2500000,0,7.814,4078,indie
The Angry Birds Movie,tt1985949,2016-05-11,73000000,349779543,6.3,4071,indie
Molly's Game,tt4209788,2017-12-07,30000000,59284015,7.155,4056,indie
The Lost City,tt13320622,2022-03-23,74000000,192907684,6.454,4047,indie
X,tt13560574,2022-03-17,1000000,14745049,6.714,4040,indie
The Creator,tt11858890,2023-09-27,80000000,104272136,7.028,4037,indie
Vacation,tt1524930,2015-07-28,31000000,104400000,6.307,4031,indie
Goosebumps,tt1051904,2015-08-05,58000000,158952243,6.313,4017,indie
Jigsaw,tt3348730,2017-10-25,10000000,104223315,6.215,4006,indie
Carol,tt2402927,2015-11-20,11800000,40272135,7.492,3987,indie
The Boy,tt3882082,2016-01-22,10000000,73929392,5.974,3987,indie
The Neon Demon,tt1974419,2016-06-08,7000000,3400000,6.496,3974,indie
The Call of the Wild,tt7504726,2020-02-19,109000000,111200000,7.513,3972,indie
Gerald's Game,tt3748172,2017-09-29,0,0,6.396,3969,indie
Underworld: Blood Wars,tt3717252,2016-11-24,35000000,81093313,5.922,3965,indie
The Babysitter,tt4225622,2017-10-13,0,0,6.189,3946,indie
No Hard Feelings,tt15671028,2023-06-15,45000000,83000000,6.679,3930,indie
Last Night in Soho,tt9639470,2021-10-21,43000000,22957625,7.269,3931,indie
Angel Has Fallen,tt6189022,2019-08-21,40000000,146661977,6.6,3925,indie
Bad Times at the El Royale,tt6628394,2018-10-04,32000000,31882724,6.842,3914,indie
The Last Duel,tt4244994,2021-10-13,100000000,30552111,7.4,3908,indie
Annabelle Comes Home,tt8350360,2019-06-26,27000000,231252591,6.407,3883,indie
The Last Witch Hunter,tt1618442,2015-10-21,90000000,146936910,6.017,3882,indie
Logan Lucky,tt5439796,2017-08-17,29000000,48453605,6.739,3880,indie
Lightyear,tt10298810,2022-06-15,200000000,226425420,6.867,3869,indie
Kubo and the Two Strings,tt4302938,2016-08-18,60000000,76249438,7.636,3856,indie
Trolls,tt1679335,2016-10-13,125000000,347337803,6.624,3855,indie
Swiss Army Man,tt4034354,2016-06-24,3000000,5800000,6.919,3850,indie
Talk to Me,tt10638522,2023-07-26,4500000,91959188,7.141,3847,indie
Evil Dead Rise,tt13345606,2023-04-12,15000000,147256372,6.951,3834,indie
Another Round,tt10288566,2020-09-24,5150000,21700000,7.628,3826,indie
Phantom Thread,tt5776858,2017-12-25,35000000,47756590,7.317,3811,indie
The Equalizer 3,tt17024450,2023-08-30,70000000,191067560,7.3,3801,indie
Nosferatu,tt5040012,2024-12-25,50000000,181805645,6.713,3801,indie
The Disaster Artist,tt3521126,2017-03-12,10000000,29820616,7.099,3789,indie
Palm Springs,tt9484998,2020-07-10,5000000,1818417,7.336,3772,indie
Promising Young Woman,tt9620292,2020-12-13,10000000,20379604,7.382,3763,indie
The New Mutants,tt4682266,2020-04-02,67000000,49169594,6.068,3756,indie
Hellboy,tt2274648,2019-04-10,50000000,55065289,5.577,3749,indie
Mechanic: Resurrection,tt3522806,2016-08-25,40000000,125729635,6.068,3706,indie
Shazam! Fury of the Gods,tt10151854,2023-03-15,110000000,134221819,6.411,3701,indie
The Devil All the Time,tt7395114,2020-09-11,0,0,7.177,3701,indie
The Father,tt10272386,2020-12-23,6000000,21029340,8.09,3696,indie
Moonfall,tt5834426,2022-02-02,146000000,67319703,6.271,3691,indie
Insidious: Chapter 3,tt3195644,2015-05-28,10000000,120453155,6.288,3661,indie
A Man Called Otto,tt7405458,2022-12-28,50000000,113360085,7.747,3661,indie
Vice,tt6266538,2018-12-25,60000000,76100000,7.013,3637,indie
Black Mass,tt1355683,2015-09-17,53000000,99975678,6.526,3624,indie
To the Bone,tt5541240,2017-01-22,0,0,7.202,3607,indie
Monster Hunter,tt6475714,2020-12-03,60000000,42145959,6.511,3607,indie
Isn't It Romantic,tt2452244,2019-02-13,31000000,48800000,6.196,3604,indie
Burnt,tt2503944,2015-10-02,20000000,36606743,6.525,3602,indie
The King,tt7984766,2019-10-11,0,0,7.157,3599,indie
Kung Fu Panda 4,tt21692408,2024-03-02,80000000,548040835,7.005,3597,indie
Mamma Mia! Here We Go Again,tt6911608,2018-07-18,75000000,395607854,7.075,3598,indie
A Monster Calls,tt3416532,2016-10-07,43000000,47309313,7.306,3595,indie
The Hunger Games: The Ballad of Songbirds & Snakes,tt10545296,2023-11-15,100000000,337371917,6.973,3579,indie
Triple Frontier,tt1488606,2019-03-06,115000000,0,6.328,3577,indie
"Extremely Wicked, Shockingly Evil and Vile",tt2481498,2019-05-02,0,0,6.996,3563,indie
Before I Fall,tt1691916,2017-03-02,5000000,16373843,6.967,3556,indie
A Dog's Purpose,tt1753383,2017-01-19,22000000,205000000,7.6,3555,indie
Society of the Snow,tt16277242,2023-12-15,65500000,1281,7.97,3542,indie
Harry Potter 20th Anniversary: Return to Hogwarts,tt16116174,2022-01-01,0,0,7.3,3539,indie
Underwater,tt5774060,2020-01-08,50000000,40882928,6.288,3532,indie
The Gift,tt4178092,2015-07-31,5000000,58978653,6.703,3533,indie
Knock Knock,tt3605418,2015-06-26,10000000,6341684,5.388,3531,indie
Brightburn,tt7752126,2019-05-09,6000000,33224654,6.155,3522,indie
Resident Evil: The Final Chapter,tt2592614,2016-12-23,40000000,312242626,6.107,3521,indie
The Ritual,tt5638642,2017-10-11,1000000,1786396,6.295,3498,indie
The Marvels,tt10676048,2023-11-08,274800000,206136825,5.9,3493,indie
Conclave,tt20215234,2024-10-25,20000000,115657988,7.188,3488,indie
Tag,tt2854926,2018-05-30,28000000,75100000,6.711,3477,indie
Gran Turismo,tt4495098,2023-08-09,60000000,121700000,7.7,3476,indie
Pitch Perfect 3,tt4765284,2017-12-20,45000000,185400345,6.508,3475,indie
House of Gucci,tt11214590,2021-11-24,75000000,153235995,6.562,3475,indie
Sierra Burgess Is a Loser,tt3120280,2018-09-07,0,0,6.282,3468,indie
Den of Thieves,tt1259528,2018-01-18,30000000,80509622,6.9,3447,indie
Raw,tt4954522,2017-03-10,3500000,4100000,7.025,3434,indie
The Banshees of Inisherin,tt11813216,2022-10-20,20000000,49300000,7.464,3428,indie
The Mitchells vs. the Machines,tt7979580,2021-04-22,75000000,0,7.834,3423,indie
Nightmare Alley,tt7740496,2021-12-02,60000000,39629195,6.944,3421,indie
Nomadland,tt9770150,2021-01-29,5000000,39458207,7.161,3414,indie
The Walk,tt3488710,2015-09-30,35000000,61181942,6.987,3410,indie
Bad Boys: Ride or Die,tt4919268,2024-06-05,100000000,404547819,7.318,3400,indie
Guillermo del Toro's Pinocchio,tt1488589,2022-11-09,35000000,0,8.009,3395,indie
The Trial of the Chicago 7,tt1070874,2020-09-25,35000000,107423,7.658,3393,indie
T2 Trainspotting,tt2763304,2017-01-27,18000000,41681746,6.935,3385,indie
How to Be Single,tt1292566,2016-02-08,38000000,112343513,6.256,3373,indie
Anatomy of a Fall,tt17009710,2023-08-23,6600000,36000000,7.517,3370,indie
Through My Window,tt14463484,2022-02-04,0,0,7.349,3363,indie
Jarhead: Law of Return,tt10767720,2019-10-01,0,0,6.527,3363,indie
Barbarian,tt15791034,2022-09-08,4500000,45400000,6.873,3362,indie
The Emoji Movie,tt4877122,2017-07-23,50000000,216909830,5.376,3353,indie
The Longest Ride,tt2726560,2015-04-09,34000000,63013281,7.632,3350,indie
Silence,tt0490215,2016-12-23,46000000,23834809,7.12,3349,indie
The Perfect Date,tt8201170,2019-04-12,0,0,6.427,3339,indie
Self/less,tt2140379,2015-07-10,26000000,31807156,6.423,3323,indie
Hitman: Agent 47,tt2679042,2015-08-20,35000000,81967450,5.903,3321,indie
Leave the World Behind,tt12747748,2023-11-22,0,0,6.38,3315,indie
Anora,tt28607951,2024-10-14,6000000,56286295,7.077,3294,indie
Brooklyn,tt2381111,2015-10-20,11000000,62076141,7.297,3287,indie
American Assassin,tt1961175,2017-07-14,33000000,67200000,6.411,3285,indie
Godzilla Minus One,tt23289160,2023-11-03,15000000,113676322,7.583,3271,indie
Guy Ritchie's The Covenant,tt4873118,2023-04-19,55000000,21948551,7.721,3250,indie
Bombshell,tt6394270,2019-12-13,32000000,61404394,6.8,3232,indie
12 Strong,tt1413492,2018-01-18,35000000,67450815,6.369,3224,indie
The Pope's Exorcist,tt13375076,2023-04-05,18000000,76987621,6.922,3218,indie
Dragon Ball Super: Broly,tt7961060,2018-12-14,1000000,125002821,7.948,3215,indie
Moana 2,tt13622970,2024-11-21,150000000,1059242164,6.989,3182,indie
Robin Hood,tt4532826,2018-11-03,100000000,86493046,5.91,3179,indie
The Guilty,tt9421570,2021-09-24,0,0,6.425,3178,indie
Charlie's Angels,tt5033998,2019-11-14,48000000,73279888,6.374,3178,indie
The Two Popes,tt8404614,2019-11-27,0,232638,7.483,3172,indie
Money Monster,tt2241351,2016-05-12,27000000,93282604,6.4,3170,indie
Napoleon,tt13287846,2023-11-22,165000000,222435664,6.305,3168,indie
Good Time,tt4846232,2017-08-11,2000000,3283369,7.2,3162,indie
Anyone but You,tt26047818,2023-12-21,25000000,214891370,6.8,3144,indie
The Florida Project,tt5649144,2017-10-06,2000000,11303040,7.427,3133,indie
Ferdinand,tt3411444,2017-12-09,111000000,295038508,7.211,3126,indie
Road House,tt3359350,2024-03-08,85000000,0,6.942,3125,indie
The Lost City of Z,tt1212428,2017-03-15,30000000,8574339,6.39,3118,indie
Hustlers,tt5503686,2019-09-12,20000000,157563598,6.466,3112,indie
Project Power,tt7550000,2020-08-14,0,0,6.426,3107,indie
Bridget Jones's Baby,tt1473832,2016-09-14,35000000,211952420,6.404,3104,indie
The House That Jack Built,tt4003440,2018-10-04,9800000,5566776,7.115,3099,indie
Red One,tt14948432,2024-10-31,250000000,185700759,6.972,3092,indie
Enola Holmes 2,tt14641788,2022-11-03,0,0,7.414,3082,indie
You Were Never Really Here,tt5742374,2017-11-08,17000000,9400000,6.543,3075,indie
Going in Style,tt2568862,2017-04-06,25000000,84618541,6.693,3071,indie
Two Is a Family,tt5078204,2016-12-07,0,1447740,7.725,3064,indie
Dragon Ball Super: Super Hero,tt14614892,2022-06-11,0,86600000,7.892,3051,indie
All the Bright Places,tt3907584,2020-02-28,0,0,7.633,3041,indie
Anna,tt7456310,2019-06-19,34000000,31626978,6.7,3039,indie
"The French Dispatch of the Liberty, Kansas Evening Sun",tt8847712,2021-10-21,25000000,46333545,7.011,3022,indie
I Care a Lot,tt9893250,2021-02-19,0,0,6.573,3019,indie
Terrifier,tt4281724,2018-01-25,35000,421798,6.315,3015,indie
Saltburn,tt17351924,2023-11-16,20000000,21013738,6.944,3014,indie
Spies in Disguise,tt5814534,2019-12-04,100000000,171616764,7.547,3012,indie
Don't Worry Darling,tt10731256,2022-09-21,35000000,86700000,6.764,3000,indie
The Little Prince,tt1754656,2015-07-29,64000000,101281211,7.614,2998,indie
American Ultra,tt3316948,2015-08-19,28000000,27100000,6.097,2988,indie
The Power of the Dog,tt10293406,2021-10-25,0,0,6.735,2986,indie
Extraction 2,tt12263384,2023-06-09,65000000,0,7.393,2973,indie
Green Room,tt4062536,2016-04-15,5000000,3800000,6.713,2973,indie
Portrait of a Lady on Fire,tt8613070,2019-09-06,5740000,9923127,8.096,2971,indie
The Foreigner,tt1615160,2017-09-28,35000000,145374099,6.98,2967,indie
The Darkest Minds,tt4073790,2018-07-25,34000000,41142379,7.021,2952,indie
Fractured,tt4332232,2019-09-22,0,0,6.765,2946,indie
Halloween Kills,tt10665338,2021-10-14,20000000,133423964,6.403,2943,indie
Flow,tt4772188,2024-08-29,3700000,17660107,8.1,2942,indie
1922,tt6214928,2017-10-20,5000000,2943477,5.947,2941,indie
Get Hard,tt2561572,2015-03-26,40000000,111800000,6.018,2936,indie
Triangle of Sadness,tt7322224,2022-09-18,15600000,24733572,7.016,2926,indie
Run,tt8633478,2020-11-20,0,5491510,7.214,2926,indie
Trap,tt26753003,2024-07-31,30000000,83677281,6.235,2925,indie
Long Shot,tt2139881,2019-05-02,40000000,0,6.702,2916,indie
Creed III,tt11145118,2023-03-01,75000000,275300000,7.088,2915,indie
Purple Hearts,tt4614584,2022-07-29,0,0,8.041,2907,indie
Beautiful Boy,tt1226837,2018-10-12,25000000,31749905,7.551,2901,indie
The Invitation,tt2400463,2016-04-08,1000000,354835,6.422,2901,indie
A Haunting in Venice,tt22687790,2023-09-13,60000000,121400000,6.567,2895,indie
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,tt13143964,2020-10-23,0,0,6.431,2894,indie
65,tt12261776,2023-03-02,45000000,60730568,5.9,2893,indie
Scary Stories to Tell in the Dark,tt3387520,2019-08-08,25000000,104545505,6.493,2894,indie
Sisu,tt14846026,2022-09-09,6600000,14281199,7.404,2892,indie
The Dead Don't Die,tt8695030,2019-05-15,11000000,15325468,5.434,2885,indie
The Killer,tt1136617,2023-10-25,175000000,362113,6.575,2881,indie
Booksmart,tt1489887,2019-05-24,6000000,24849029,6.999,2879,indie
Sound of Metal,tt5363618,2020-11-20,0,516520,7.702,2879,indie
47 Meters Down,tt2932536,2017-05-25,5500000,62198461,5.802,2878,indie
Patriots Day,tt4572514,2016-12-12,45000000,50548152,7.1,2878,indie
I Am Mother,tt6292852,2019-06-07,0,643593,6.71,2870,indie
Hustle,tt8009428,2022-06-03,21000000,0,7.699,2866,indie
Don't Breathe 2,tt6246322,2021-08-12,15000000,53785551,6.981,2866,indie
Damsel,tt13452446,2024-03-07,60000000,5000,6.981,2853,indie
Death Wish,tt1137450,2018-03-01,30000000,34017028,6.24,2839,indie
Paddington 2,tt4468740,2017-11-09,40000000,290132513,7.478,2838,indie
Café Society,tt4513674,2016-05-11,30000000,43763247,6.44,2837,indie
Set It Up,tt5304992,2018-06-15,0,0,6.905,2825,indie
Carry-On,tt21382296,2024-12-05,47000000,0,6.883,2824,indie
Cold Pursuit,tt5719748,2019-02-07,60000000,76419755,5.877,2822,indie
The Fabelmans,tt14208870,2022-11-11,40000000,45629909,7.564,2816,indie
Johnny English Strikes Again,tt6921996,2018-08-30,25000000,158972570,6.283,2799,indie
Alpha,tt4244998,2018-08-17,51000000,99630675,6.565,2790,indie
Suspiria,tt1034415,2018-10-26,20000000,7953089,6.896,2790,indie
Sound of Freedom,tt7599146,2023-07-03,14500000,250600000,7.954,2789,indie
Mortdecai,tt3045616,2015-01-21,60000000,47318560,5.52,2781,indie
Ava,tt8784956,2020-07-02,0,2987741,5.824,2779,indie
Me and Earl and the Dying Girl,tt2582496,2015-06-12,0,0,7.533,2774,indie
Longlegs,tt23468450,2024-07-10,10000000,127961936,6.518,2760,indie
No Escape,tt1781922,2015-08-26,5000000,54400000,6.948,2760,indie
After We Fell,tt13069986,2021-09-01,14000000,21753705,6.999,2758,indie
Heretic,tt28015403,2024-10-31,10000000,51913394,6.971,2755,indie
Midway,tt6924650,2019-11-06,100000000,127400000,7.1,2751,indie
Challengers,tt16426418,2024-04-18,55000000,94182533,6.912,2745,indie
Resident Evil: Welcome to Raccoon City,tt6920084,2021-11-24,25000000,41914915,5.928,2738,indie
